ID,Category,Match_Score
30862904,HR,42.0929728097833
28640735,HR,39.152544539466675
17812897,HR,39.11587395759643
72231872,HR,38.589246743019054
87968870,HR,37.86698753868146
27490876,HR,37.31310042518451
28175164,HR,37.1482935337437
29297973,HR,36.82959375083223
24508725,HR,36.576045460929286
34740556,HR,36.460184572549394
16244633,ARTS,36.137788048557184
32896934,HR,35.959168380373406
17412079,HR,35.9492692527744
38059130,ADVOCATE,35.6525590892309
23510685,HR,35.078707366359566
12786012,HR,34.16772739278009
93112113,HR,34.079772961052754
13879043,HR,33.96453068917019
26289308,HR,33.94673190992369
11480899,HR,33.83219842951057
15041689,HR,33.80302383308704
21830565,HR,33.59123280976683
17855844,HR,33.565243086351394
25676643,HR,33.22112348340668
20925036,HR,32.991591643105316
18316239,HR,32.79873720894768
44476983,HR,32.48914598382736
86184722,HR,32.43247175110672
18422164,HR,31.954551360369432
18084150,HR,31.84314167066772
73077810,HR,31.79459630116109
39970711,HR,31.63352063539798
13376919,HR,31.35293368506894
32947778,HR,31.163460272135364
15375009,HR,30.759442758599832
25724495,HR,30.566386088103947
80162314,HR,30.50709758499992
20993320,HR,30.31920719957285
